objid,ra,dec
587742571074682959,170.0027791,18.26049495
587742571074748433,170.18724664,18.21950449
587742775091134490,169.49184706,17.44137967
587742775628005405,169.44291495,17.74019176
587742775628005460,169.4091686,17.81807266
587742865281974373,169.52134559,17.64951666
588007005795319822,222.44204731,60.39853753
588010359081664548,169.53635812,4.61611293
588011098873135138,169.85772652,62.48392731
588013382203408499,170.84676782,50.89268182
588013383276822573,169.44366015,51.47659956
588017110217785386,169.58887827,45.74817011
588017567630753872,169.72668182,13.10603964
588017567630950406,170.07851956,12.98987705
588017567631147019,170.57732358,13.06505278
588017604696735912,222.29826422,38.41389435
588017705074032700,170.6666335,13.33054643
588017947736801309,170.82167716,41.06040454
588017949884285040,170.51086311,42.81926184
588023668628914212,169.57189681,18.84709742
588023669702918321,170.23299679,19.63194495
588848898834890880,170.82967094,-0.92261567
588848899930783894,221.31587273,-0.15953353
587722982831423597,220.23483992,-0.31821408
587722982831620208,220.69129895,-0.35108018
587725817483427907,162.76251751,65.78155956
587726014549852324,220.62338103,1.50040202
587726032266461264,220.98488226,1.60417529
587726032266526801,221.10186447,1.67977227
587726032778362918,163.91320649,2.39575851
587726100412301389,219.57547213,3.41032397
587727222480699689,344.54191745,14.30849823
587728879270428793,163.00099772,3.83606448
587728919522377795,220.56880494,60.8731228
587730774419439819,345.32786076,14.33957402
587730774419898567,346.48523132,14.35767217
587730817364525113,343.1636028,-9.26778504
587731499187961864,163.33103936,54.84069514
587731501335838936,164.08711927,56.75959061
587732134843711594,164.24454272,50.14060327
587732483834118244,220.32147534,44.47884265
587732483834183717,220.38344865,44.51277085
587732576700399634,162.80970503,5.84001965
587732576700792885,163.80256891,5.86255541
587732772657758339,163.0161248,10.1483073
587733603183951999,220.95495213,53.40064697
587735348565770380,162.83305472,14.0234388
587735664771399812,219.746456,51.12067684
587735666381619390,219.64685889,52.70643724
587735696452681841,219.70948424,52.27261535
587736542020501561,220.32992323,7.79299136
587736940910084114,220.10881481,33.98911427
587738617560629301,164.44583226,36.26076692
587739096444829722,163.15975166,34.48313833
587739099129380912,163.13808417,36.62687416
587739099129446407,163.16996963,36.66492663
587739295086739482,162.83641169,32.76637304
587739295086804999,162.94378167,32.90004329
587739295086805089,163.03929065,32.94176684
587739379914965160,220.63850335,28.72645447
587739379915161651,221.0869345,28.55101306
587739406774173771,163.09529776,32.6373618
587739406795472924,220.40500704,29.2696824
587739407868756213,219.70840267,30.44252932
587739408384983069,163.28378765,33.91036235
587739408384983193,163.4100843,34.03316595
587739631704539145,220.8528783,28.30093131
587739719763951727,219.90528771,24.53850261
587741489832853644,162.81615842,27.84878843
587741531708850240,163.59112012,27.23948715
587741532782395445,162.84981154,28.11202072
587741828582604849,163.14900111,22.93414985
587742013275177117,163.52386145,20.64443834
587742060527026351,162.79478597,20.17043218
587742569472786453,163.13268721,19.79231005
587742571071799445,163.2504492,17.57485368
587742571608670300,163.08903451,17.93526506
587742775088578599,163.34991264,16.77242806
587742775088578636,163.37356487,16.78601071
587742775088840716,163.93518486,17.0050236
587742775625580563,163.62300567,17.34403416
587742775625580639,163.62953097,17.28474964
587746210520825932,163.42787505,9.72792469
587748929233289272,163.20263589,0.03443019
588010358005039204,162.99179323,3.79206262
588017116666134553,219.96735271,42.74233455
588017116666134574,220.03839599,42.77952853
588017604159209500,220.16230211,38.63782274
588017625630441709,220.79534505,38.34581788
588017627759116368,162.95126934,43.76413069
588017627777204254,219.56785276,40.45673301
588017712052043782,219.54798375,46.63823455
588017948290121758,219.52738653,37.0097617
588017948290252803,219.77275534,36.80607398
588017949364125800,220.64110989,37.45233344
588017978368589943,220.01449423,34.09988628
588298661974507539,220.17509909,40.6608507
588298664658731046,221.05338057,42.62887696
588848901004132409,220.45287105,0.68697063
587724231570620458,25.70138603,13.15594993
587724231572324371,29.57099265,12.67144107
587724232644296723,25.61245078,13.97697958
587725552817602637,153.75180163,65.13992551
587726032261742732,210.19070421,2.02203581
587726033847451681,153.17187087,3.12936199
587726100945436911,211.06600837,4.11220086
587727177924345886,27.29516566,-10.42647756
587727178461216862,27.29314699,-10.06123737
587727229449470022,27.15170546,-10.32620939
587727229986603057,27.76669692,-9.70232628
587727231596757023,26.60438752,-8.63662022
587727232133431334,26.14903979,-8.2516616
587728881413324877,152.44283685,5.17293465
587728881413390384,152.65496983,5.15067205
587728917909733563,210.75311054,61.75206048
587728949585641530,152.82443191,0.44241027
587732152572051507,154.11759101,45.32156003
587732578843820252,153.49546156,7.02400331
587732579380887737,153.92544026,7.32785711
587733398096642097,210.31688532,51.87299641
587733424943595725,210.70391315,57.97463114
587735428547608601,210.54294879,45.86261267
587735429084348469,210.49028878,46.31189932
587735661550633019,154.0906096,37.78019206
587735661550698508,154.10215389,37.91276735
587735665305518153,210.75488265,54.24149358
587735666915999795,211.17913733,55.43520706
587735695913189443,210.31681066,54.41873813
587735695913255210,210.61261043,54.32997016
587735695913320463,210.67757139,54.39129666
587735695913320507,210.80219907,54.34895402
587735695913320514,210.8805163,54.35406281
587735695913320564,210.81858003,54.28054022
587735695913320571,210.86814941,54.28545126
587735695913386026,210.9757607,54.36932232
587735695913386089,211.12281199,54.3964759
587735697523671062,210.54916811,55.81402827
587736478125260847,211.20612162,11.39550452
587736525370949664,209.66090273,7.21650614
587736543626788902,210.51468649,9.92932203
587736583889289223,210.10542452,38.5207502
587736808303034390,210.96437227,13.24282329
587736809913450508,210.6425253,14.5525444
587736809913450514,210.64758124,14.53504688
587736914601050228,210.97391838,12.68399427
587736940369412187,209.93096966,36.23811635
587736941443285004,210.45504194,37.00940198
587738410326687791,153.21511965,12.66598555
587738952033304694,210.65144766,34.85568384
587738953107177591,211.1541317,35.54551879
587739131880276122,209.88088464,34.77358279
587739131880603756,210.77590468,34.59931041
587739132417474622,210.88125373,35.02531462
587739133491150910,210.94650419,35.7416785
587739379911229507,211.2088969,31.06510784
587739380447641741,210.18189256,31.89416684
587739381521514519,210.6503327,32.51045492
587739407328411721,210.58565485,32.4481697
587739811022045398,209.5990288,25.54986243
587739843769598099,209.7305063,21.98849296
587739844843208761,209.60244196,22.92673155
587739844843208765,209.59599569,22.88793961
587741815710351437,154.14222982,21.12305011
587741817857704030,153.37945133,22.73105044
587741830726156428,153.21993634,22.72199851
587742014881398790,152.6663537,20.07016773
587742061620232254,210.50002299,20.50167779
587742609993826346,210.94341441,14.86810824
587742629056872471,211.11416103,16.30366844
587745245240164428,153.43079589,18.12217091
587745245240229897,153.45147069,18.12621976
587745541056364719,153.61906163,15.90291796
588009370683899972,152.39705508,57.56677138
588010358000844885,153.38039606,3.37501649
588010880382599199,209.5583066,5.40829341
588010880382730388,209.84474478,5.53866869
588011217525997677,210.19057652,59.32831714
588011219136282696,209.65790462,60.79681528
588011219673350334,210.8342901,60.99020168
588017604137123864,153.49347927,39.80044065
588017625089835118,210.22754835,40.98860919
588017625089835120,210.23500902,41.00720686
588017627219165343,154.06513833,41.16638094
588017711512420512,210.93631287,48.7663326
588017712049160259,210.69209799,49.17376365
588017712049225731,210.70845492,49.17265696
588017712049225749,210.72561305,49.1709786
588017713122705433,210.31116947,50.22308115
588017724948349080,210.2186793,6.4863684
588017726021697715,209.48423905,7.43358055
588017949360259201,209.92975579,40.38666438
588017977827852369,209.55911497,36.6501477
588017978364985359,210.35010105,36.80009145
588017978365182008,211.06193226,36.72574664
588017978901528612,209.65824612,37.42448349
588017979975270443,209.98791031,38.20092487
588017979975270527,209.96148358,38.18230017
588017991229046981,210.06040322,8.96705258
588017991229571218,211.19722443,8.8009263
588018056185380935,210.75340063,50.01212668
588023046947078159,152.78389626,23.87520033
588297864722579536,152.57095617,43.07046011
588297864722776098,153.20236367,43.14553159
587722981750276247,203.22968952,-1.15946091
587724232101199896,10.88497099,14.342568
587725472806600764,150.50400172,59.25231361
587725817490636969,204.01074518,66.30253749
587726014542184502,203.12818612,1.84770401
587727179528339579,11.94806957,-9.89953108
587727220872249529,349.63983632,13.43829013
587727221409054747,349.40166351,14.00120864
587727222483779839,351.79252159,15.01724196
587727223020453936,351.20565792,15.2756017
587727223557914649,352.55686789,15.76102005
587727223558111314,353.10175502,15.84785433
587727225695895579,13.33179677,-10.40330179
587727876646764569,349.76990594,-8.48508854
587728676861050946,203.02873643,62.70066505
587728676861051075,203.04324837,62.76772979
587728879264792604,150.11280304,3.37438579
587728880875077809,149.31884866,4.52697353
587728880875470879,150.18835979,4.73432327
587728880875470943,150.26402371,4.61927263
587729386607673504,150.07878188,54.53860964
587729772607045903,203.20899955,-3.08279916
587729778513412330,204.01916016,-1.59196595
587729779049955471,203.22129518,-1.25866036
587730772810137622,348.52236795,13.17783787
587730772810334236,348.98302152,13.19612235
587730774958801023,351.29730778,15.19985106
587730775496261841,352.65738852,15.60518458
587730816830013655,348.57158454,-9.8362104
587731185672716368,12.99841862,-0.48671091
587731186735841374,348.63802763,0.23597531
587731187820331036,13.21999287,1.21398255
587732154181353500,149.39830458,45.22990911
